time, rx, ry, rz, vx, vy, vz
1.32,0,0,0.24817,0,0,-0.968704,
1.33,0,0,0.238471,0,0,-0.971138,
1.34,0,0,0.228747,0,0,-0.973474,
1.35,0,0,0.219001,0,0,-0.975712,
1.36,0,0,0.209233,0,0,-0.977854,
1.37,0,0,0.199444,0,0,-0.979897,
1.38,0,0,0.189635,0,0,-0.981842,
1.39,0,0,0.179807,0,0,-0.98369,
1.4,0,0,0.169961,0,0,-0.985438,
1.41,0,0,0.160099,0,0,-0.987089,
1.42,0,0,0.15022,0,0,-0.98864,
1.43,0,0,0.140326,0,0,-0.990093,
1.44,0,0,0.130418,0,0,-0.991447,
1.45,0,0,0.120497,0,0,-0.992701,
1.46,0,0,0.110564,0,0,-0.993857,
1.47,0,0,0.10062,0,0,-0.994913,
1.48,0,0,0.0906655,0,0,-0.995869,
1.49,0,0,0.0807023,0,0,-0.996726,
1.5,0,0,0.070731,0,0,-0.997483,
1.51,0,0,0.0607526,0,0,-0.99814,
1.52,0,0,0.0507682,0,0,-0.998698,
1.53,0,0,0.0407786,0,0,-0.999156,
1.54,0,0,0.030785,0,0,-0.999514,
1.55,0,0,0.0207884,0,0,-0.999771,
1.56,0,0,0.0107896,0,0,-0.999929,
1.57,0,0,0.000789785,0,0,-0.999987,
1.58,0,0,-0.00921013,0,0,-0.999945,
1.59,0,0,-0.0192091,0,0,-0.999803,
1.6,0,0,-0.0292062,0,0,-0.999561,
1.61,0,0,-0.0392003,0,0,-0.999219,
1.62,0,0,-0.0491906,0,0,-0.998777,
1.63,0,0,-0.0591759,0,0,-0.998235,
1.64,0,0,-0.0691553,0,0,-0.997593,
1.65,0,0,-0.0791277,0,0,-0.996852,
1.66,0,0,-0.0890923,0,0,-0.996011,
1.67,0,0,-0.099048,0,0,-0.99507,
1.68,0,0,-0.108994,0,0,-0.99403,
1.69,0,0,-0.118929,0,0,-0.99289,
1.7,0,0,-0.128852,0,0,-0.991652,
1.71,0,0,-0.138762,0,0,-0.990313,
1.72,0,0,-0.148658,0,0,-0.988876,
1.73,0,0,-0.158539,0,0,-0.98734,
1.74,0,0,-0.168405,0,0,-0.985706,
1.75,0,0,-0.178253,0,0,-0.983972,
1.76,0,0,-0.188084,0,0,-0.982141,
1.77,0,0,-0.197896,0,0,-0.980211,
1.78,0,0,-0.207688,0,0,-0.978183,
1.79,0,0,-0.21746,0,0,-0.976057,
1.8,0,0,-0.227209,0,0,-0.973834,
1.81,0,0,-0.236936,0,0,-0.971513,
1.82,0,0,-0.24664,0,0,-0.969095,
1.83,0,0,-0.256318,0,0,-0.96658,
1.84,0,0,-0.265971,0,0,-0.963969,
1.85,0,0,-0.275598,0,0,-0.961261,
1.86,0,0,-0.285196,0,0,-0.958457,
1.87,0,0,-0.294767,0,0,-0.955557,
1.88,0,0,-0.304308,0,0,-0.952562,
1.89,0,0,-0.313818,0,0,-0.949471,
